,tp,fp,fn,tn,accuracy,f1_score
0,7.0,1.0,1.0,6.0,0.8666666666666667,0.875
1,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
2,6.0,0.0,2.0,7.0,0.8666666666666667,0.8571428571428571
3,6.0,1.0,2.0,6.0,0.8,0.7999999999999999
4,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
5,6.0,1.0,2.0,6.0,0.8,0.7999999999999999
6,8.0,2.0,0.0,5.0,0.8666666666666667,0.888888888888889
7,6.0,2.0,2.0,5.0,0.7333333333333333,0.75
8,7.0,3.0,1.0,4.0,0.7333333333333333,0.7777777777777777
9,7.0,2.0,1.0,5.0,0.8,0.823529411764706
10,5.0,3.0,3.0,4.0,0.6,0.625
11,4.0,1.0,4.0,6.0,0.6666666666666666,0.6153846153846154
12,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
13,2.0,0.0,6.0,7.0,0.6,0.4
14,7.0,2.0,1.0,5.0,0.8,0.823529411764706
15,5.0,2.0,3.0,5.0,0.6666666666666666,0.6666666666666666
16,4.0,1.0,4.0,6.0,0.6666666666666666,0.6153846153846154
17,7.0,2.0,1.0,5.0,0.8,0.823529411764706
18,6.0,3.0,2.0,4.0,0.6666666666666666,0.7058823529411765
19,6.0,3.0,2.0,4.0,0.6666666666666666,0.7058823529411765
20,4.0,3.0,4.0,4.0,0.5333333333333333,0.5333333333333333
21,7.0,1.0,1.0,6.0,0.8666666666666667,0.875
22,7.0,4.0,1.0,3.0,0.6666666666666666,0.7368421052631579
23,6.0,2.0,2.0,5.0,0.7333333333333333,0.75
24,3.0,0.0,5.0,7.0,0.6666666666666666,0.5454545454545454
25,8.0,3.0,0.0,4.0,0.8,0.8421052631578948
26,3.0,3.0,5.0,4.0,0.4666666666666667,0.42857142857142855
27,7.0,3.0,1.0,4.0,0.7333333333333333,0.7777777777777777
28,8.0,3.0,0.0,4.0,0.8,0.8421052631578948
29,6.0,2.0,2.0,5.0,0.7333333333333333,0.75
30,7.0,3.0,1.0,4.0,0.7333333333333333,0.7777777777777777
31,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
32,5.0,2.0,3.0,5.0,0.6666666666666666,0.6666666666666666
33,3.0,1.0,5.0,6.0,0.6,0.5
34,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
35,3.0,2.0,5.0,5.0,0.5333333333333333,0.4615384615384615
36,3.0,2.0,5.0,5.0,0.5333333333333333,0.4615384615384615
37,5.0,1.0,3.0,6.0,0.7333333333333333,0.7142857142857143
38,1.0,1.0,7.0,6.0,0.4666666666666667,0.2
39,7.0,2.0,1.0,5.0,0.8,0.823529411764706
